"id","value_id","name","description","long description"
"18A","3","Absence of Common Consonants","No fricatives","No fricatives"
"18A","4","Absence of Common Consonants","No nasals","No nasals"
"18A","5","Absence of Common Consonants","No bilabials or nasals","No bilabials or nasals"
"18A","6","Absence of Common Consonants","No fricatives or nasals","No fricatives or nasals"
"19A","1","Presence of Uncommon Consonants","None","None"
"19A","2","Presence of Uncommon Consonants","Clicks","Clicks"
"19A","3","Presence of Uncommon Consonants","Labial-velars","Labial-velars"
"19A","4","Presence of Uncommon Consonants","Pharyngeals","Pharyngeals"
"19A","5","Presence of Uncommon Consonants","'Th' sounds","'Th' sounds"
"19A","6","Presence of Uncommon Consonants","Clicks, pharyngeals, and 'th'","Clicks, pharyngeals, and 'th'"
"19A","7","Presence of Uncommon Consonants","Pharyngeals and ""th""","Pharyngeals and 'th'"
"20A","1","Fusion of Selected Inflectional Formatives","Exclusively concatenative","Exclusively concatenative"
"20A","2","Fusion of Selected Inflectional Formatives","Exclusively isolating","Exclusively isolating"
"20A","3","Fusion of Selected Inflectional Formatives","Exclusively tonal","Exclusively tonal"
"20A","4","Fusion of Selected Inflectional Formatives","Tonal/isolating","Tonal/isolating"
"20A","5","Fusion of Selected Inflectional Formatives","Tonal/concatenative","Tonal/concatenative"
"20A","6","Fusion of Selected Inflectional Formatives","Ablaut/concatenative","Ablaut/concatenative"
"20A","7","Fusion of Selected Inflectional Formatives","Isolating/concatenative","Isolating/concatenative"
"21A","1","Exponence of Selected Inflectional Formatives","Monoexponential case","Monoexponential case"
"21A","2","Exponence of Selected Inflectional Formatives","Case + number","Case + number"
"21A","3","Exponence of Selected Inflectional Formatives","Case + referentiality","Case + referentiality"
"21A","4","Exponence of Selected Inflectional Formatives","Case + TAM","Case + TAM (tense-aspect-mood)"
"21A","5","Exponence of Selected Inflectional Formatives","No case","No case"
"22A","1","Inflectional Synthesis of the Verb","0-1 category per word","0-1 category per word"
"22A","2","Inflectional Synthesis of the Verb","2-3 categories per word","2-3 categories per word"
"22A","3","Inflectional Synthesis of the Verb","4-5 categories per word","4-5 categories per word"
"22A","4","Inflectional Synthesis of the Verb","6-7 categories per word","6-7 categories per word"
"22A","5","Inflectional Synthesis of the Verb","8-9 categories per word","8-9 categories per word"
"22A","6","Inflectional Synthesis of the Verb","10-11 categories per word","10-11 categories per word"
"22A","7","Inflectional Synthesis of the Verb","12-13 categories per word","12-13 categories per word"
"23A","1","Locus of Marking in the Clause","Head marking","P is head-marked"
"23A","2","Locus of Marking in the Clause","Dependent marking","P is dependent-marked"
"23A","3","Locus of Marking in the Clause","Double marking","P is double-marked"
"23A","4","Locus of Marking in the Clause","No marking","P has no marking"
"23A","5","Locus of Marking in the Clause","Other","Other types"
"24A","1","Locus of Marking in Possessive Noun Phrases","Head marking","Possessor is head-marked"
"24A","2","Locus of Marking in Possessive Noun Phrases","Dependent marking","Possessor is dependent-marked"
"24A","3","Locus of Marking in Possessive Noun Phrases","Double marking","Possessor is double-marked"
"24A","4","Locus of Marking in Possessive Noun Phrases","No marking","Possessor has no marking"
"24A","5","Locus of Marking in Possessive Noun Phrases","Other","Other types"
"25A","1","Locus of Marking: Whole-language Typology","Head-marking","Consistently head-marking"
"25A","2","Locus of Marking: Whole-language Typology","Dependent-marking","Consistently dependent-marking"
"25A","3","Locus of Marking: Whole-language Typology","Double-marking","Consistently double-marking"
"25A","4","Locus of Marking: Whole-language Typology","Zero-marking","Consistently zero-marking"
"25A","5","Locus of Marking: Whole-language Typology","Inconsistent or other","Inconsistent marking or other type"
"26A","1","Prefixing vs. Suffixing in Inflectional Morphology","Little affixation","Little or no inflectional morphology"
"26A","2","Prefixing vs. Suffixing in Inflectional Morphology","Strongly suffixing","Predominantly suffixing"
"26A","3","Prefixing vs. Suffixing in Inflectional Morphology","Weakly suffixing","Moderate preference for suffixing"
"26A","4","Prefixing vs. Suffixing in Inflectional Morphology","Equal prefixing and suffixing","Approximately equal amounts of suffixing and prefixing"
"26A","5","Prefixing vs. Suffixing in Inflectional Morphology","Weakly prefixing","Moderate preference for prefixing"
"26A","6","Prefixing vs. Suffixing in Inflectional Morphology","Strong prefixing","Predominantly prefixing"
"27A","1","Reduplication","Productive full and partial reduplication","Productive full and partial reduplication"
"27A","2","Reduplication","Full reduplication only","Full reduplication only"
"27A","3","Reduplication","No productive reduplication","No productive reduplication"
"28A","1","Case Syncretism","No case marking","Inflectional case marking is absent or minimal"
"28A","2","Case Syncretism","Core cases only","Inflectional case marking is syncretic for core cases only"
"28A","3","Case Syncretism","Core and non-core","Inflectional case marking is syncretic for core and non-core cases"
"28A","4","Case Syncretism","No syncretism","Inflectional case marking is never syncretic"
"29A","1","Syncretism in Verbal Person/Number Marking","No subject person/number marking","No subject person/number marking"
"29A","2","Syncretism in Verbal Person/Number Marking","Syncretic","Subject person/number marking is syncretic"
"29A","3","Syncretism in Verbal Person/Number Marking","Not syncretic","Subject person/number marking is never syncretic"
"30A","1","Number of Genders","None","None"
"30A","2","Number of Genders","Two","Two"
"30A","3","Number of Genders","Three","Three"
"30A","4","Number of Genders","Four","Four"
"30A","5","Number of Genders","Five or more","Five or more"
"31A","1","Sex-based and Non-sex-based Gender Systems","No gender","No gender system"
"31A","2","Sex-based and Non-sex-based Gender Systems","Sex-based","Sex-based gender system"
"31A","3","Sex-based and Non-sex-based Gender Systems","Non-sex-based","Non-sex-based gender system"
"32A","1","Systems of Gender Assignment","No gender","No gender system"
"32A","2","Systems of Gender Assignment","Semantic","Semantic assignment"
"32A","3","Systems of Gender Assignment","Semantic and formal","Semantic and formal assignment"
"33A","1","Coding of Nominal Plurality","Plural prefix","Plural prefix"
"33A","2","Coding of Nominal Plurality","Plural suffix","Plural suffix"
"33A","3","Coding of Nominal Plurality","Plural stem change","Plural stem change"
"33A","4","Coding of Nominal Plurality","Plural tone","Plural tone"
"33A","5","Coding of Nominal Plurality","Plural complete reduplication","Plural by complete reduplication of stem"
"33A","6","Coding of Nominal Plurality","Mixed morphological plural","Morphological plural with no method primary"
"33A","7","Coding of Nominal Plurality","Plural word","Plural word"
"33A","8","Coding of Nominal Plurality","Plural clitic","Plural clitic"
"33A","9","Coding of Nominal Plurality","No plural","No plural"
"34A","1","Occurrence of Nominal Plurality","No nominal plural","No nominal plural"
"34A","2","Occurrence of Nominal Plurality","Only human nouns, optional","Plural only in human nouns, optional"
"34A","3","Occurrence of Nominal Plurality","Only human nouns, obligatory","Plural only in human nouns, obligatory"
"34A","4","Occurrence of Nominal Plurality","All nouns, always optional","Plural in all nouns, always optional"
"34A","5","Occurrence of Nominal Plurality","All nouns, optional in inanimates","Plural in all nouns, optional in inanimates"
"34A","6","Occurrence of Nominal Plurality","All nouns, always obligatory","Plural in all nouns, always obligatory"
"35A","1","Plurality in Independent Personal Pronouns","No independent subject pronouns","No independent subject pronouns"
"35A","2","Plurality in Independent Personal Pronouns","Number-indifferent pronouns","Number-indifferent pronouns"
"35A","3","Plurality in Independent Personal Pronouns","Person-number affixes","Person-number affixes"
"35A","4","Plurality in Independent Personal Pronouns","Person-number stem","Person-number stem"
"35A","5","Plurality in Independent Personal Pronouns","Person-number stem + pronominal plural affix","Person-number stem with a pronominal plural affix"
"35A","6","Plurality in Independent Personal Pronouns","Person-number stem + nominal plural affix","Person-number stem with a nominal plural affix"
"35A","7","Plurality in Independent Personal Pronouns","Person stem + pronominal plural affix","Person stem with a pronominal plural affix"
"35A","8","Plurality in Independent Personal Pronouns","Person stem + nominal plural affix","Person stem with a nominal plural affix"
"36A","1","The Associative Plural","Associative same as additive plural","Associative plural marker also used for additive plurals"
"36A","2","The Associative Plural","Unique affixal associative plural","Special bound associative plural marker"
"36A","3","The Associative Plural","Unique periphrastic associative plural","Special non-bound associative plural marker"
"36A","4","The Associative Plural","No associative plural","Associative plural absent"
"37A","1","Definite Articles","Definite word distinct from demonstrative","Definite word distinct from demonstrative"
"37A","2","Definite Articles","Demonstrative word used as definite article","Demonstrative word used as marker of definiteness"
"37A","3","Definite Articles","Definite affix","Definite affix on noun"
"37A","4","Definite Articles","No definite, but indefinite article","No definite article but indefinite article"
"37A","5","Definite Articles","No definite or indefinite article","Neither definite nor indefinite article"
"38A","1","Indefinite Articles","Indefinite word distinct from 'one'","Indefinite word distinct from numeral for 'one'"
"38A","2","Indefinite Articles","Indefinite word same as 'one'","Numeral for 'one' is used as indefinite article"
"38A","3","Indefinite Articles","Indefinite affix","Indefinite affix on noun"
"38A","4","Indefinite Articles","No indefinite, but definite article","No indefinite article but definite article"
"38A","5","Indefinite Articles","No definite or indefinite article","Neither indefinite nor definite"
"39A","1","Inclusive/Exclusive Distinction in Independent Pronouns","No 'we'","No grammaticalised marking at all"
"39A","2","Inclusive/Exclusive Distinction in Independent Pronouns","'We' the same as 'I'","'We' and 'I' identical"
"39A","3","Inclusive/Exclusive Distinction in Independent Pronouns","No inclusive/exclusive","No inclusive/exclusive opposition"
"39A","4","Inclusive/Exclusive Distinction in Independent Pronouns","Only inclusive","Only inclusive differentiated"
"39A","5","Inclusive/Exclusive Distinction in Independent Pronouns","Inclusive/exclusive","Inclusive and exclusive differentiated"
"40A","1","Inclusive/Exclusive Distinction in Verbal Inflection","No person marking","No person marking at all"
"40A","2","Inclusive/Exclusive Distinction in Verbal Inflection","'We' the same as 'I'","'We' and 'I' identical"
"40A","3","Inclusive/Exclusive Distinction in Verbal Inflection","No inclusive/exclusive","No inclusive/exclusive opposition"
"40A","4","Inclusive/Exclusive Distinction in Verbal Inflection","Only inclusive","Only inclusive differentiated"
"40A","5","Inclusive/Exclusive Distinction in Verbal Inflection","Inclusive/exclusive","Inclusive and exclusive differentiated"
"41A","1","Distance Contrasts in Demonstratives","No distance contrast","No distance contrast"
"41A","2","Distance Contrasts in Demonstratives","Two-way contrast","Two-way contrast"
"41A","3","Distance Contrasts in Demonstratives","Three-way contrast","Three-way contrast"
"41A","4","Distance Contrasts in Demonstratives","Four-way contrast","Four-way contrast"
"41A","5","Distance Contrasts in Demonstratives","Five (or more)-way contrast","Five (or more)-way contrast"
"42A","1","Pronominal and Adnominal Demonstratives","Identical","Same forms"
"42A","2","Pronominal and Adnominal Demonstratives","Different stem","Different stems"
"42A","3","Pronominal and Adnominal Demonstratives","Different inflection","Different inflectional features"
"43A","1","Third Person Pronouns and Demonstratives","Unrelated","Third person pronouns and demonstratives are unrelated to demonstratives"
"43A","2","Third Person Pronouns and Demonstratives","Related for all demonstratives","Third person pronouns and demonstratives are related to all demonstratives"
"43A","3","Third Person Pronouns and Demonstratives","Related to remote demonstratives","Third person pronouns and demonstratives are related to remote demonstratives"
"43A","4","Third Person Pronouns and Demonstratives","Related to non-remote demonstratives","Third person pronouns and demonstratives are related to non-remote demonstratives"
"43A","5","Third Person Pronouns and Demonstratives","Related by gender markers","Third person pronouns and demonstratives are related by gender markers"
"43A","6","Third Person Pronouns and Demonstratives","Related for non-human reference","Third person pronouns and demonstratives are related for non-human reference"
"44A","1","Gender Distinctions in Independent Personal Pronouns","In 3rd person + 1st and/or 2nd person","Gender distinctions in 3rd person plus 1st and/or 2nd person"
"44A","2","Gender Distinctions in Independent Personal Pronouns","3rd person only, but also non-singular","Gender distinctions in 3rd person only, but in both singular and non-singular"
"44A","3","Gender Distinctions in Independent Personal Pronouns","3rd person singular only","Gender distinctions in 3rd person singular only"
"44A","4","Gender Distinctions in Independent Personal Pronouns","1st or 2nd person but not 3rd","Gender distinctions in 1st or 2nd person but not 3rd"
"44A","5","Gender Distinctions in Independent Personal Pronouns","3rd person non-singular only","Gender distinctions in 3rd person non-singular only"
"44A","6","Gender Distinctions in Independent Personal Pronouns","No gender distinctions","No gender distinctions"
"45A","1","Politeness Distinctions in Pronouns","No politeness distinction","Second person pronouns encode no politeness distinction"
"45A","2","Politeness Distinctions in Pronouns","Binary politeness distinction","Second person pronouns encode a binary politeness distinction"
"45A","3","Politeness Distinctions in Pronouns","Multiple politeness distinctions","Second person pronouns encode multiple politeness distinctions"
"45A","4","Politeness Distinctions in Pronouns","Pronouns avoided for politeness","Second person pronouns are dominantly avoided for politeness reasons"
"46A","1","Indefinite Pronouns","Interrogative-based","Interrogative-based indefinites"
"46A","2","Indefinite Pronouns","Generic-noun-based","Generic-noun-based indefinites"
"46A","3","Indefinite Pronouns","Special","Special indefinites"
"46A","4","Indefinite Pronouns","Mixed","Mixed indefinites"
"46A","5","Indefinite Pronouns","Existential construction","Existential construction"
"47A","1","Intensifiers and Reflexive Pronouns","Identical","Intensifiers and reflexive pronouns are formally identical"
"47A","2","Intensifiers and Reflexive Pronouns","Differentiated","Intensifiers and reflexive pronouns are formally differentiated"
"48A","1","Person Marking on Adpositions","No adpositions","No adpositions"
"48A","2","Person Marking on Adpositions","No person marking","Adpositions without person marking"
"48A","3","Person Marking on Adpositions","Pronouns only","Person marking for pronouns only"
"48A","4","Person Marking on Adpositions","Pronouns and nouns","Person marking for pronouns and nouns"
"49A","1","Number of Cases","No morphological case-marking","No morphological case-marking"
"49A","2","Number of Cases","2 cases","2 case categories"
"49A","3","Number of Cases","3 cases","3 case categories"
"49A","4","Number of Cases","4 cases","4 case categories"
"49A","5","Number of Cases","5 cases","5 case categories"
"49A","6","Number of Cases","6-7 cases","6-7 case categories"
"49A","7","Number of Cases","8-9 cases","8-9 case categories"
"49A","8","Number of Cases","10 or more cases","10 or more case categories"
"49A","9","Number of Cases","Exclusively borderline case-marking","Exclusively borderline morphological case-marking"
"50A","1","Asymmetrical Case-Marking","No case-marking","No morphological case-marking"
"50A","2","Asymmetrical Case-Marking","Symmetrical","Symmetrical case-marking"
"50A","3","Asymmetrical Case-Marking","Additive-quantitatively asymmetrical","Additive-quantitatively asymmetrical case-marking"
"50A","4","Asymmetrical Case-Marking","Subtractive-quantitatively asymmetrical","Subtractive-quantitatively asymmetrical case-marking"
"50A","5","Asymmetrical Case-Marking","Qualitatively asymmetrical","Qualitatively asymmetrical case-marking"
