"id","value_id","name","description","long description"
"70A","1","The Morphological Imperative","Second singular and second plural","The language has morphologically dedicated second singular as well as second plural imperatives"
"70A","2","The Morphological Imperative","Second singular","The language has morphologically dedicated second singular imperatives but no morphologically dedicated second plural imperatives"
"70A","3","The Morphological Imperative","Second plural","The language has morphologically dedicated second plural imperatives but no morphologically dedicated second singular imperatives"
"70A","4","The Morphological Imperative","Second person number-neutral","The language has morphologically dedicated second person imperatives that do not distinguish between singular and plural"
"70A","5","The Morphological Imperative","No second-person imperatives","The language has no morphologically dedicated second-person imperatives at all"
"71A","1","The Prohibitive","Normal imperative + normal negative","The prohibitive uses the verbal construction of the second singular imperative and a sentential negative strategy found in (indicative) declaratives"
"71A","2","The Prohibitive","Normal imperative + special negative","The prohbitive uses the verbal construction of the second singular imperative and a sentential negative strategy not found in (indicative) declaratives"
"71A","3","The Prohibitive","Special imperative + normal negative","The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy found in (indicative) declaratives"
"71A","4","The Prohibitive","Special imperative + special negative","The prohibitive uses a verbal construction other than the second singular imperative and a sentential negative strategy not found in (indicative) declaratives"
"72A","1","Imperative-Hortative Systems","Maximal system","The language has a maximal system, but not a minimal one"
"72A","2","Imperative-Hortative Systems","Minimal system","The language has a minimal system, but not a maximal one"
"72A","3","Imperative-Hortative Systems","Both types of system","The language has both a maximal and a minimal system"
"72A","4","Imperative-Hortative Systems","Neither type of system","The language has neither a maximal nor a minimal system"
"73A","1","The Optative","Inflectional optative present","Inflectional optative present"
"73A","2","The Optative","Inflectional optative absent","Inflectional optative absent"
"74A","1","Situational Possibility","Affixes on verbs","The language can express situational possibility with affixes on verbs"
"74A","2","Situational Possibility","Verbal constructions","The language cannot express situational possibility with affixes on verbs, but with verbal constructions"
"74A","3","Situational Possibility","Other kinds of markers","The language cannot express situational possibility with affixes on verbs or with verbal constructions, but with other kinds of markers"
"75A","1","Epistemic Possibility","Verbal constructions","The language can express epistemic possibility with verbal constructions"
"75A","2","Epistemic Possibility","Affixes on verbs","The language cannot express epistemic possibility with verbal constructions, but with affixes on verbs"
"75A","3","Epistemic Possibility","Other","The language cannot express epistemic possibility with verbal constructions or with affixes on verbs, but with other kinds of markers"
"76A","1","Overlap between Situational and Epistemic Modal Marking","Overlap for both possibility and necessity","The language has markers that can code both situational and epistemic modality, both for possibility and necessity"
"76A","2","Overlap between Situational and Epistemic Modal Marking","Overlap for either possibility or necessity","The language has markers that can code both situational and epistemic modality, but only for possibility or for necessity"
"76A","3","Overlap between Situational and Epistemic Modal Marking","No overlap","The language has no markers that can code both situational and epistemic modality"
"77A","1","Semantic Distinctions of Evidentiality","No grammatical evidentials","No grammatical evidentials"
"77A","2","Semantic Distinctions of Evidentiality","Indirect only","Only indirect evidentials"
"77A","3","Semantic Distinctions of Evidentiality","Direct and indirect","Both direct and indirect evidentials"
"78A","1","Coding of Evidentiality","No grammatical evidentials","No grammatical evidentials"
"78A","2","Coding of Evidentiality","Verbal affix or clitic","Verbal affix or clitic"
"78A","3","Coding of Evidentiality","Part of the tense system","Part of the tense system"
"78A","4","Coding of Evidentiality","Separate particle","Separate particle"
"78A","5","Coding of Evidentiality","Modal morpheme","Modal morpheme"
"78A","6","Coding of Evidentiality","Mixed","Mixed systems"
"79A","1","Suppletion According to Tense and Aspect","Tense","Suppletion according to tense"
"79A","2","Suppletion According to Tense and Aspect","Aspect","Suppletion according to aspect"
"79A","3","Suppletion According to Tense and Aspect","Tense and aspect","Suppletion in both tense and aspect"
"79A","4","Suppletion According to Tense and Aspect","None","No suppletion in tense or aspect"
"80A","1","Verbal Number and Suppletion","None","No singular-(dual)-plural pairs/triples"
"80A","2","Verbal Number and Suppletion","Singular-plural pairs, no suppletion","Singular-plural pairs, no suppletion"
"80A","3","Verbal Number and Suppletion","Singular-plural pairs, suppletion","Singular-plural pairs, suppletion"
"80A","4","Verbal Number and Suppletion","Singular-dual-plural triples, no suppletion","Singular-dual-plural triples, no suppletion"
"80A","5","Verbal Number and Suppletion","Singular-dual-plural triples, suppletion","Singular-dual-plural triples, suppletion"
"81A", Object and Verb","Order of Subject,"1","SOV","Subject-object-verb (SOV)"
"81A", Object and Verb","Order of Subject,"2","SVO","Subject-verb-object (SVO)"
"81A", Object and Verb","Order of Subject,"3","VSO","Verb-subject-object (VSO)"
"81A", Object and Verb","Order of Subject,"4","VOS","Verb-object-subject (VOS)"
"81A", Object and Verb","Order of Subject,"5","OVS","Object-verb-subject (OVS)"
"81A", Object and Verb","Order of Subject,"6","OSV","Object-subject-verb (OSV)"
"81A", Object and Verb","Order of Subject,"7","No dominant order","Lacking a dominant word order"
"82A","1","Order of Subject and Verb","SV","Subject precedes verb (SV)"
"82A","2","Order of Subject and Verb","VS","Subject follows verb (VS)"
"82A","3","Order of Subject and Verb","No dominant order","Both orders with neither order dominant"
"83A","1","Order of Object and Verb","OV","Object precedes verb (OV)"
"83A","2","Order of Object and Verb","VO","Object follows verb (VO)"
"83A","3","Order of Object and Verb","No dominant order","Both orders with neither order dominant"
"84A", Oblique,"Order of Object, and Verb","1","VOX","Verb-object-oblique (VOX)"
"84A", Oblique,"Order of Object, and Verb","2","XVO","Oblique-verb-object (XVO)"
"84A", Oblique,"Order of Object, and Verb","3","XOV","Oblique-object-verb (XOV)"
"84A", Oblique,"Order of Object, and Verb","4","OXV","Object-oblique-verb (OXV)"
"84A", Oblique,"Order of Object, and Verb","5","OVX","Object-verb-oblique (OVX)"
"84A", Oblique,"Order of Object, and Verb","6","No dominant order","More than one order with none dominant"
"85A","1","Order of Adposition and Noun Phrase","Postpositions","Postpositions"
"85A","2","Order of Adposition and Noun Phrase","Prepositions","Prepositions"
"85A","3","Order of Adposition and Noun Phrase","Inpositions","Inpositions"
"85A","4","Order of Adposition and Noun Phrase","No dominant order","More than one adposition type with none dominant"
"85A","5","Order of Adposition and Noun Phrase","No adpositions","No adpositions"
"86A","1","Order of Genitive and Noun","Genitive-Noun","Genitive-noun (GenN)"
"86A","2","Order of Genitive and Noun","Noun-Genitive","Noun-genitive (NGen)"
"86A","3","Order of Genitive and Noun","No dominant order","Both orders occur with neither order dominant"
"87A","1","Order of Adjective and Noun","Adjective-Noun","Modifying adjective precedes noun (AdjN)"
"87A","2","Order of Adjective and Noun","Noun-Adjective","Modifying adjective follows noun (NAdj)"
"87A","3","Order of Adjective and Noun","No dominant order","Both orders of noun and modifying adjective occur, with neither dominant"
"87A","4","Order of Adjective and Noun","Only internally-headed relative clauses","Adjectives do not modify nouns, occurring as predicates in internally headed relative clauses"
"89A","1","Order of Numeral and Noun","Numeral-Noun","Numeral precedes noun (NumN)"
"89A","2","Order of Numeral and Noun","Noun-Numeral","Numeral follows noun (NNum)"
"89A","3","Order of Numeral and Noun","No dominant order","Both orders of numeral and noun with neither order dominant"
"89A","4","Order of Numeral and Noun","Numeral only modifies verb","Numeral only modifies verb"
"90A","1","Order of Relative Clause and Noun","Noun-Relative clause","Relative clause follows noun (NRel)"
"90A","2","Order of Relative Clause and Noun","Relative clause-Noun","Relative clause precedes noun (RelN)"
"90A","3","Order of Relative Clause and Noun","Internally headed","Internally-headed relative clause"
"90A","4","Order of Relative Clause and Noun","Correlative","Correlative relative clause"
"90A","5","Order of Relative Clause and Noun","Adjoined","Adjoined relative clause"
"90A","6","Order of Relative Clause and Noun","Doubly headed","Double-headed relative clause"
"90A","7","Order of Relative Clause and Noun","Mixed","Mixed types of relative clause with none dominant"
"91A","1","Order of Degree Word and Adjective","Degree word-Adjective","Degree word precedes adjective (DegAdj)"
"91A","2","Order of Degree Word and Adjective","Adjective-Degree word","Degree word follows adjective (AdjDeg)"
"91A","3","Order of Degree Word and Adjective","No dominant order","Both orders occur with neither order dominant"
"92A","1","Position of Polar Question Particles","Initial","Question particle at beginning of sentence"
"92A","2","Position of Polar Question Particles","Final","Question particle at end of sentence"
"92A","3","Position of Polar Question Particles","Second position","Question particle in second position in sentence"
"92A","4","Position of Polar Question Particles","Other position","Question particle with other position"
"92A","5","Position of Polar Question Particles","In either of two positions","Question particle in either of two positions"
"92A","6","Position of Polar Question Particles","No question particle","No question particle"
"93A","1","Position of Interrogative Phrases in Content Questions","Initial interrogative phrase","Interrogative phrases obligatorily initial"
"93A","2","Position of Interrogative Phrases in Content Questions","Not initial interrogative phrase","Interrogative phrases not obligatorily initial"
"93A","3","Position of Interrogative Phrases in Content Questions","Mixed","Mixed, some interrogative phrases obligatorily initial, some not"
"94A","1","Order of Adverbial Subordinator and Clause","Initial subordinator word","Adverbial subordinators which are separate words and which appear at the beginning of the subordinate clause"
"94A","2","Order of Adverbial Subordinator and Clause","Final subordinator word","Adverbial subordinators which are separate words and which appear at the end of the subordinate clause"
"94A","3","Order of Adverbial Subordinator and Clause","Internal subordinator word","Clause-internal adverbial subordinators"
"94A","4","Order of Adverbial Subordinator and Clause","Subordinating suffix","Suffixal adverbial subordinators"
"94A","5","Order of Adverbial Subordinator and Clause","Mixed","More than one type of adverbial subordinators with none dominant"
"95A","1","Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase","OV and Postpositions","Object-verb and postpositional (OV&Postp)"
"95A","2","Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase","OV and Prepositions","Object-verb and prepositional (OV&Prep)"
"95A","3","Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase","VO and Postpositions","Verb-object and postpositional (VO&Postp)"
"95A","4","Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase","VO and Prepositions","Verb-object and prepositional (VO&Prep)"
"95A","5","Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase","Other","Languages not falling into one of the preceding four types"
"96A","1","Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun","OV and RelN","Object-verb and relative clause-noun (OV&RelN)"
"96A","2","Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun","OV and NRel","Object-verb and noun-relative clause (OV&NRel)"
"96A","3","Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun","VO and RelN","Verb-object and relative clause-noun (VO&RelN)"
"96A","4","Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun","VO and NRel","Verb-object and noun-relative clause (VO&NRel)"
"96A","5","Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun","Other","Languages not falling into one of the preceding four types"
"97A","1","Relationship between the Order of Object and Verb and the Order of Adjective and Noun","OV and AdjN","Object-verb and adjective-noun (OV&AdjN)"
"97A","2","Relationship between the Order of Object and Verb and the Order of Adjective and Noun","OV and NAdj","Object-verb and noun-adjective (OV&NAdj)"
"97A","3","Relationship between the Order of Object and Verb and the Order of Adjective and Noun","VO and AdjN","Verb-object and adjective-noun (VO&AdjN)"
"97A","4","Relationship between the Order of Object and Verb and the Order of Adjective and Noun","VO and NAdj","Verb-object and noun-adjective (VO&NAdj)"
"97A","5","Relationship between the Order of Object and Verb and the Order of Adjective and Noun","Other","Languages not falling into one of the preceding four types"
"98A","1","Alignment of Case Marking of Full Noun Phrases","Neutral","Neutral"
"98A","2","Alignment of Case Marking of Full Noun Phrases","Nominative - accusative (standard)","Nominative - accusative (standard)"
"98A","3","Alignment of Case Marking of Full Noun Phrases","Nominative - accusative (marked nominative)","Nominative - accusative (marked nominative)"
"98A","4","Alignment of Case Marking of Full Noun Phrases","Ergative - absolutive","Ergative - absolutive"
"98A","5","Alignment of Case Marking of Full Noun Phrases","Tripartite","Tripartite"
"98A","6","Alignment of Case Marking of Full Noun Phrases","Active-inactive","Active - inactive"
"99A","1","Alignment of Case Marking of Pronouns","Neutral","Neutral"
"99A","2","Alignment of Case Marking of Pronouns","Nominative - accusative (standard)","Nominative - accusative (standard)"
"99A","3","Alignment of Case Marking of Pronouns","Nominative - accusative (marked nominative)","Nominative - accusative (marked nominative)"
"99A","4","Alignment of Case Marking of Pronouns","Ergative - absolutive","Ergative - absolutive"
"99A","5","Alignment of Case Marking of Pronouns","Tripartite","Tripartite"
"99A","6","Alignment of Case Marking of Pronouns","Active - inactive","Active - inactive"
"99A","7","Alignment of Case Marking of Pronouns","None","None"
"100A","1","Alignment of Verbal Person Marking","Neutral","Neutral alignment (no verbal person marking)"
"100A","2","Alignment of Verbal Person Marking","Accusative","Accusative alignment"
"100A","3","Alignment of Verbal Person Marking","Ergative","Ergative alignment"
"100A","4","Alignment of Verbal Person Marking","Active","Active alignment"
"100A","5","Alignment of Verbal Person Marking","Hierarchical","Hierarchical alignment"
"100A","6","Alignment of Verbal Person Marking","Split","Split alignment"
"101A","1","Expression of Pronominal Subjects","Obligatory pronouns in subject position","Pronominal subjects are expressed by pronouns in subject position that are normally if not obligatorily present"
"101A","2","Expression of Pronominal Subjects","Subject affixes on verb","Pronominal subjects are expressed by affixes on verbs"
"101A","3","Expression of Pronominal Subjects","Subject clitics on variable host","Pronominal subjects are expressed by clitics with variable host"
"101A","4","Expression of Pronominal Subjects","Subject pronouns in different position","Pronominal subjects are expressed by subject pronouns that occur in a different syntactic position from full noun phrase subjects"
"101A","5","Expression of Pronominal Subjects","Optional pronouns in subject position","Pronominal subjects are expressed only by pronouns in subject position, but these pronouns are often left out"
"101A","6","Expression of Pronominal Subjects","Mixed","More than one of the above types with none dominant"
"102A","1","Verbal Person Marking","No person marking","No person marking of any argument"
"102A","2","Verbal Person Marking","Only the A argument","Person marking of only the A argument"
"102A","3","Verbal Person Marking","Only the P argument","Person marking of only the P argument"
"102A","4","Verbal Person Marking","A or P argument","Person marking of the A or P argument"
"102A","5","Verbal Person Marking","Both the A and P arguments","Person marking of both the A and P arguments"
"103A","1","Third Person Zero of Verbal Person Marking","No person marking","No person marking of the S"
"103A","2","Third Person Zero of Verbal Person Marking","No zero realization","No zero realization of third person S forms"
"103A","3","Third Person Zero of Verbal Person Marking","Zero in some 3sg forms","Zero realization of some third person singular forms"
"103A","4","Third Person Zero of Verbal Person Marking","Zero in all 3sg forms","Zero realization of all third person singular S forms"
"103A","5","Third Person Zero of Verbal Person Marking","Zero in all 3rd person forms","Zero realization of all third person forms/No third person S forms"
"103A","6","Third Person Zero of Verbal Person Marking","Zero only in 3rd nonsingular","Zero realization only of third person non-singular"
"104A","1","Order of Person Markers on the Verb","A and P do not or do not both occur on the verb","A and P do not or do not both occur on the verb"
"104A","2","Order of Person Markers on the Verb","A precedes P","A precedes P"
"104A","3","Order of Person Markers on the Verb","P precedes A","P precedes A"
"104A","4","Order of Person Markers on the Verb","Both orders of A and P occur","Both orders of A and P occur"
"104A","5","Order of Person Markers on the Verb","A and P are fused","A and P are fused"
"105A","1","Ditransitive Constructions: The Verb 'Give'","Indirect-object construction","Indirect-object construction"
"105A","2","Ditransitive Constructions: The Verb 'Give'","Double-object construction","Double-object construction"
"105A","3","Ditransitive Constructions: The Verb 'Give'","Secondary-object construction","Secondary-object construction"
"105A","4","Ditransitive Constructions: The Verb 'Give'","Mixed","Mixed"
"106A","1","Reciprocal Constructions","No reciprocals","There are no non-iconic reciprocal constructions."
"106A","2","Reciprocal Constructions","Distinct from reflexive","All reciprocal constructions are formally distinct from reflexive constructions."
"106A","3","Reciprocal Constructions","Mixed","There are both reflexive and non-reflexive reciprocal constructions."
"106A","4","Reciprocal Constructions","Identical to reflexive","The reciprocal and reflexive constructions are formally identical."
"107A","1","Passive Constructions","Present","There is a passive construction"
"107A","2","Passive Constructions","Absent","There is no passive construction"
"108A","1","Antipassive Constructions","Implicit patient","Antipassive with patient-like argument left implicit"
"108A","2","Antipassive Constructions","Oblique patient","Antipassive with patient-like argument expressed as oblique complement"
"108A","3","Antipassive Constructions","No antipassive","No antipassive"
"109A","1","Applicative Constructions","Benefactive object; both bases","Benefactive object only; both bases"
"109A","2","Applicative Constructions","Benefactive object; only transitive","Benefactive object only; transitive base only"
"109A","3","Applicative Constructions","Benefactive and other; both bases","Benefactive and other; both bases"
"109A","4","Applicative Constructions","Benefactive and other; only transitive","Benefactive and other; transitive base only"
"109A","5","Applicative Constructions","Non-benefactive object; both bases","Non-benefactive object only; both bases"
"109A","6","Applicative Constructions","Non-benefactive object; only transitive","Non-benefactive object only; transitive base only"
"109A","7","Applicative Constructions","Non-benefactive object; only intransitive","Non-benefactive object only; intransitive base only"
"109A","8","Applicative Constructions","No applicative construction","No applicative construction"
"110A","1","Periphrastic Causative Constructions","Sequential but no purposive","Sequential type but no purposive type"
"110A","2","Periphrastic Causative Constructions","Purposive but no sequential","Purposive type but no sequential type"
"110A","3","Periphrastic Causative Constructions","Both","Both sequential type and purposive type"
"111A","1","Nonperiphrastic Causative Constructions","Neither","No morphological type or compound type"
"111A","2","Nonperiphrastic Causative Constructions","Morphological but no compound","Morphological type but no compound type"
"111A","3","Nonperiphrastic Causative Constructions","Compound but no morphological","Compound type but no morphological type"
"111A","4","Nonperiphrastic Causative Constructions","Both","Both morphological type and compound type"
"112A","1","Negative Morphemes","Negative affix","Negative affix"
"112A","2","Negative Morphemes","Negative particle","Negative particle"
"112A","3","Negative Morphemes","Negative auxiliary verb","Negative auxiliary verb"
"112A","4","Negative Morphemes","Negative word, unclear if verb or particle","Negative word, unclear if verb or particle"
"112A","5","Negative Morphemes","Variation between negative word and affix","Variation between negative word and affix"
"112A","6","Negative Morphemes","Double negation","Double negation"
"113A","1","Symmetric and Asymmetric Standard Negation","Symmetric","Symmetric standard negation only: Type Sym"
"113A","2","Symmetric and Asymmetric Standard Negation","Asymmetric","Asymmetric standard negation only: Type Asy"
"113A","3","Symmetric and Asymmetric Standard Negation","Both","Symmetric and asymmetric standard negation: Type SymAsy"
"114A","1","Subtypes of Asymmetric Standard Negation","A/Fin","In finiteness: Subtype A/Fin"
"114A","2","Subtypes of Asymmetric Standard Negation","A/NonReal","In reality status: Subtype A/NonReal"
"114A","3","Subtypes of Asymmetric Standard Negation","A/Cat","In other grammatical categories: Subtype A/Cat"
"114A","4","Subtypes of Asymmetric Standard Negation","A/Fin and A/NonReal","In finiteness and reality status: Subtypes A/Fin and A/NonReal"
"114A","5","Subtypes of Asymmetric Standard Negation","A/Fin and A/Cat","In finiteness and other grammatical categories: Subtypes A/Fin and A/Cat"
"114A","6","Subtypes of Asymmetric Standard Negation","A/NonReal and A/Cat","In reality status and other grammatical categories: Subtypes A/NonReal and A/Cat"
"114A","7","Subtypes of Asymmetric Standard Negation","Non-assignable","Non-assignable (no asymmetry found)"
"115A","1","Negative Indefinite Pronouns and Predicate Negation","Predicate negation also present","Negative indefinites co-occur with predicate negation"
"115A","2","Negative Indefinite Pronouns and Predicate Negation","No predicate negation","Negative indefinites preclude predicate negation"
"115A","3","Negative Indefinite Pronouns and Predicate Negation","Mixed behaviour","Negative indefinites show mixed behaviour"
"115A","4","Negative Indefinite Pronouns and Predicate Negation","Negative existential construction","Negative existential construction"
"116A","1","Polar Questions","Question particle","Question particle"
"116A","2","Polar Questions","Interrogative verb morphology","Interrogative verb morphology"
"116A","3","Polar Questions","Mixture of previous two types","Question particle and interrogative verb morphology"
"116A","4","Polar Questions","Interrogative word order","Interrogative word order"
"116A","5","Polar Questions","Absence of declarative morphemes","Absence of declarative morphemes"
"116A","6","Polar Questions","Interrogative intonation only","Interrogative intonation only"
"116A","7","Polar Questions","No interrogative-declarative distinction","No interrogative-declarative distinction"
"117A","1","Predicative Possession","Locational","Locational Possessive"
"117A","2","Predicative Possession","Genitive","Genitive Possessive"
"117A","3","Predicative Possession","Topic","Topic Possessive"
"117A","4","Predicative Possession","Conjunctional","Conjunctional Possessive"
"117A","5","Predicative Possession","'Have'","Have-Possessive"
"118A","1","Predicative Adjectives","Verbal encoding","Predicative adjectives have verbal encoding"
"118A","2","Predicative Adjectives","Nonverbal encoding","Predicative adjectives have nonverbal encoding"
"118A","3","Predicative Adjectives","Mixed","Predicative adjectives have mixed encoding"
"119A","1","Nominal and Locational Predication","Different","Split (i.e. different) encoding of nominal and locational predication"
"119A","2","Nominal and Locational Predication","Identical","Shared (i.e. identical) encoding of nominal and locational predication"
"120A","1","Zero Copula for Predicate Nominals","Impossible","Zero copula is impossible"
"120A","2","Zero Copula for Predicate Nominals","Possible","Zero copula is possible"
"121A","1","Comparative Constructions","Locational","Locational Comparative"
"121A","2","Comparative Constructions","Exceed","Exceed Comparative"
"121A","3","Comparative Constructions","Conjoined","Conjoined Comparative"
"121A","4","Comparative Constructions","Particle","Particle Comparative"
"122A","1","Relativization on Subjects","Relative pronoun","Relative pronoun"
"122A","2","Relativization on Subjects","Non-reduction","Non-reduction"
"122A","3","Relativization on Subjects","Pronoun-retention","Pronoun-retention"
"122A","4","Relativization on Subjects","Gap","Gap"
"123A","1","Relativization on Obliques","Relative pronoun","Relative Pronoun Strategy"
"123A","2","Relativization on Obliques","Non-reduction","Non-Reduction Strategy"
"123A","3","Relativization on Obliques","Pronoun-retention","Pronoun-Retention Strategy"
"123A","4","Relativization on Obliques","Gap","Gap Strategy"
"123A","5","Relativization on Obliques","Not possible","Not possible"
"124A","1","'Want' Complement Subjects","Subject is left implicit","The complement subject is left implicit"
"124A","2","'Want' Complement Subjects","Subject is expressed overtly","The complement subject is expressed overtly"
"124A","3","'Want' Complement Subjects","Both construction types exist","Both construction types exist"
"124A","4","'Want' Complement Subjects","Desiderative verbal affix","'Want' is expressed as a desiderative verbal affix"
"124A","5","'Want' Complement Subjects","Desiderative particle","'Want' is expressed as an uninflected desiderative particle"
"125A","1","Purpose Clauses","Balanced","Balanced"
"125A","2","Purpose Clauses","Balanced/deranked","Balanced/deranked"
"125A","3","Purpose Clauses","Deranked","Deranked"
"126A","1","'When' Clauses","Balanced","Balanced"
"126A","2","'When' Clauses","Balanced/deranked","Balanced/deranked"
"126A","3","'When' Clauses","Deranked","Deranked"
"127A","1","Reason Clauses","Balanced","Balanced"
"127A","2","Reason Clauses","Balanced/deranked","Balanced/deranked"
"127A","3","Reason Clauses","Deranked","Deranked"
"128A","1","Utterance Complement Clauses","Balanced","Balanced"
"128A","2","Utterance Complement Clauses","Balanced/deranked","Balanced/deranked"
"128A","3","Utterance Complement Clauses","Deranked","Deranked"
"129A","1","Hand and Arm","Identical","Identity: a single word denotes both 'hand' and 'arm'"
"129A","2","Hand and Arm","Different","Differentiation: one word denotes 'hand' and another, different word denotes 'arm'"
"130A","1","Finger and Hand","Identical","Identity: a single word denotes both 'hand' and 'finger' and/or 'fingers'"
"130A","2","Finger and Hand","Different","Differentiation: one word denotes 'hand' and another, different word denotes 'finger' (or, very rarely, 'fingers')"
"131A","1","Numeral Bases","Decimal","Decimal"
"131A","2","Numeral Bases","Hybrid vigesimal-decimal","Hybrid vigesimal-decimal"
"131A","3","Numeral Bases","Pure vigesimal","Pure vigesimal"
"131A","4","Numeral Bases","Other base","Other base"
"131A","5","Numeral Bases","Extended body-part system","Extended body-part system"
"131A","6","Numeral Bases","Restricted","Restricted"
"132A","1","Number of Non-Derived Basic Colour Categories","3","3 categories"
"132A","2","Number of Non-Derived Basic Colour Categories","3.5","Between 3 and 4 categories"
"132A","3","Number of Non-Derived Basic Colour Categories","4","4 categories"
"132A","4","Number of Non-Derived Basic Colour Categories","4.5","Between 4 and 5 categories"
"132A","5","Number of Non-Derived Basic Colour Categories","5","5 categories"
"132A","6","Number of Non-Derived Basic Colour Categories","5.5","Between 5 and 6 categories"
"132A","7","Number of Non-Derived Basic Colour Categories","6","6 categories"
"133A","1","Number of Basic Colour Categories","3-4","3, between 3 and 4, or 4 categories"
"133A","2","Number of Basic Colour Categories","4.5-5.5","Between 4 and 5, 5, or between 5 and 6 categories"
"133A","3","Number of Basic Colour Categories","6-6.5","6 or between 6 and 7 categories"
"133A","4","Number of Basic Colour Categories","7-7.5","7 or between 7 and 8 categories"
"133A","5","Number of Basic Colour Categories","8-8.5","8 or between 8 and 9 categories"
"133A","6","Number of Basic Colour Categories","9-10","9, between 9 and 10, or 10 categories"
"133A","7","Number of Basic Colour Categories","11","More than 10 categories"
"134A","1","Green and Blue","Green vs. blue","Green and blue"
"134A","2","Green and Blue","Green/blue","Green-or-blue ('grue')"
"134A","3","Green and Blue","Black/green/blue","Black-or-green-or-blue"
"134A","4","Green and Blue","Black/blue vs. green","Black-or-blue and green"
"134A","5","Green and Blue","Yellow/green/blue","Yellow-or-green-or-blue"
"134A","6","Green and Blue","Yellow/green vs. blue","Yellow-or-green and blue"
"134A","7","Green and Blue","None","Green and blue not both encoded in any basic color term"
"135A","1","Red and Yellow","Red vs. yellow","Red and yellow"
"135A","2","Red and Yellow","Red/yellow","Red-or-yellow"
"135A","3","Red and Yellow","Yellow/green/blue vs. red","Red and yellow-or-green-or-blue"
"135A","4","Red and Yellow","Yellow/green vs. red","Red and yellow-or-green"
"135A","5","Red and Yellow","None","Red and yellow not both encoded in any basic color term"
"136A","1","M-T Pronouns","No M-T pronouns","No M-T pronouns"
"136A","2","M-T Pronouns","M-T pronouns, paradigmatic","M-T pronouns, paradigmatic"
"136A","3","M-T Pronouns","M-T pronouns, non-paradigmatic","M-T pronouns, non-paradigmatic"
"137A","1","N-M Pronouns","No N-M pronouns","No N-M pronouns"
"137A","2","N-M Pronouns","N-M pronouns, paradigmatic","N-M pronouns, paradigmatic"
"137A","3","N-M Pronouns","N-M pronouns, non-paradigmatic","N-M pronouns, non-paradigmatic"
"138A","1","Tea","Words derived from Sinitic cha","Words derived from Sinitic cha"
"138A","2","Tea","Words derived from Min Nan Chinese te","Words derived from Min Nan Chinese te"
"138A","3","Tea","Others","Others"
"139A","1","Irregular Negatives in Sign Languages","None","No irregular negatives"
"139A","2","Irregular Negatives in Sign Languages","One","One irregular negative"
"139A","3","Irregular Negatives in Sign Languages","Some (2-5)","Some irregular negatives (2-5)"
"139A","4","Irregular Negatives in Sign Languages","Many (more than 5)","Many irregular negatives (more than 5)"
"140A","1","Question Particles in Sign Languages","None","No question particle"
"140A","2","Question Particles in Sign Languages","One","One question particle"
"140A","3","Question Particles in Sign Languages","More than one","More than one question particle"
"142A","1","Para-Linguistic Usages of Clicks","Logical meanings","Clicks may express logical meanings ('yes' and/or 'no')"
"142A","2","Para-Linguistic Usages of Clicks","Affective meanings","Clicks may express affective but not logical meanings"
"142A","3","Para-Linguistic Usages of Clicks","Other or none","Clicks may express neither affective nor logical meanings"
"88A","1","Order of Demonstrative and Noun","Demonstrative-Noun","Demonstrative word precedes noun (DemN)"
"88A","2","Order of Demonstrative and Noun","Noun-Demonstrative","Demonstrative word follows noun (NDem)"
"88A","3","Order of Demonstrative and Noun","Demonstrative prefix","Demonstrative prefix on noun"
"88A","4","Order of Demonstrative and Noun","Demonstrative suffix","Demonstrative suffix on noun"
"88A","5","Order of Demonstrative and Noun","Demonstrative before and after Noun","Demonstrative simultaneously before and after noun"
"88A","6","Order of Demonstrative and Noun","Mixed","Two or more of above types with none dominant"
"141A","1","Writing Systems","Alphabetic","Alphabetic"
"141A","2","Writing Systems","Consonantal","Consonantal"
"141A","3","Writing Systems","Alphasyllabic","Alphasyllabic"
"141A","4","Writing Systems","Syllabic","Syllabic"
"141A","5","Writing Systems","Logographic","Logographic"
"141A","6","Writing Systems","Mixed logographic–syllabic","Mixed logographic–syllabic"
"143F","1","Postverbal Negative Morphemes","VNeg","Postverbal negative word"
"143F","2","Postverbal Negative Morphemes","[V-Neg]","Negative suffix"
"143F","3","Postverbal Negative Morphemes","VNeg&[V-Neg]","Both postverbal negative word and negative suffix"
"143F","4","Postverbal Negative Morphemes","None","No postverbal negative morpheme"
"90B","1","Prenominal relative clauses","Relative clause-Noun (RelN) dominant","Relative clause-Noun (RelN) dominant"
"90B","2","Prenominal relative clauses","RelN or NRel","RelN or NRel"
"90B","3","Prenominal relative clauses","RelN or internally-headed","RelN or internally-headed"
"90B","4","Prenominal relative clauses","RelN or correlative","RelN or correlative"
"90B","5","Prenominal relative clauses","RelN or double-headed","RelN or double-headed"
