ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
27A-cwe,http://wals.info/languoid/lect/wals_code_cwe,27A,27,Productive full and partial reduplication,Kinkade-1982,
27A-dhm,http://wals.info/languoid/lect/wals_code_dhm,27A,27,Productive full and partial reduplication,Cooper-1999,
27A-gmt,http://wals.info/languoid/lect/wals_code_gmt,27A,27,Full reduplication only,,
27A-hrr,http://wals.info/languoid/lect/wals_code_hrr,27A,27,Productive full and partial reduplication,Rose-nd,
27A-mxl,http://wals.info/languoid/lect/wals_code_mxl,27A,27,Full reduplication only,,
27A-muh,http://wals.info/languoid/lect/wals_code_muh,27A,27,Productive full and partial reduplication,Rose-2003,
27A-nhc,http://wals.info/languoid/lect/wals_code_nhc,27A,27,Productive full and partial reduplication,Karttunen-2001,
27A-ntu,http://wals.info/languoid/lect/wals_code_ntu,27A,27,No productive reduplication,,
27A-pgl,http://wals.info/languoid/lect/wals_code_pgl,27A,27,Productive full and partial reduplication,Kennedy-2002,
27A-sst,http://wals.info/languoid/lect/wals_code_sst,27A,27,Productive full and partial reduplication,Mithun-1999,
27A-sry,http://wals.info/languoid/lect/wals_code_sry,27A,27,Productive full and partial reduplication,,
27A-thw,http://wals.info/languoid/lect/wals_code_thw,27A,27,Productive full and partial reduplication,Chang-1998,
27A-twa,http://wals.info/languoid/lect/wals_code_twa,27A,27,Productive full and partial reduplication,,
27A-wwy,http://wals.info/languoid/lect/wals_code_wwy,27A,27,Productive full and partial reduplication,Rubino-2001c,
27A-zhn,http://wals.info/languoid/lect/wals_code_zhn,27A,27,Full reduplication only,Edmondson-2001,
27A-bsm,http://wals.info/languoid/lect/wals_code_bsm,27A,27,Productive full and partial reduplication,Tryon-1987,
27A-cmk,http://wals.info/languoid/lect/wals_code_cmk,27A,27,Productive full and partial reduplication,Andrade-1953,
27A-lrd,http://wals.info/languoid/lect/wals_code_lrd,27A,27,Productive full and partial reduplication,Klokeid-1976,
27A-tze,http://wals.info/languoid/lect/wals_code_tze,27A,27,Productive full and partial reduplication,Berlin-1963[214],
27A-blq,http://wals.info/languoid/lect/wals_code_blq,27A,27,Productive full and partial reduplication,Gimba-2000,
27A-buw,http://wals.info/languoid/lect/wals_code_buw,27A,27,Productive full and partial reduplication,Alexandre-1966[66],
