ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
90G-kmb,http://wals.info/languoid/lect/wals_code_kmb,90G,90,Double-headed dominant,de-Vries-1989[ 189],
90G-ygr,http://wals.info/languoid/lect/wals_code_ygr,90G,90,Double-headed as nondominant type,"Renck-1975[ 173, 206-208]",
90G-kob,http://wals.info/languoid/lect/wals_code_kob,90G,90,Double-headed or RelN,"Davies-1981b[ 29, 58]",
90G-jms,http://wals.info/languoid/lect/wals_code_jms,90G,90,Double-headed or internally-headed,Heath-2008[479-480],
90G-hna,http://wals.info/languoid/lect/wals_code_hna,90G,90,Double-headed as nondominant type,Frajzyngier-and-Johnston-2005[ 436],
