ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
31A-bys,http://wals.info/languoid/lect/wals_code_bys,31A,31,Sex-based,Corbett-and-Hayward-1987,
31A-def,http://wals.info/languoid/lect/wals_code_def,31A,31,Sex-based,Jenewari-1983[103-106],
31A-fgu,http://wals.info/languoid/lect/wals_code_fgu,31A,31,Non-sex-based,Koval-1979,
31A-ylb,http://wals.info/languoid/lect/wals_code_ylb,31A,31,No gender,Burridge-1996,
31A-yaz,http://wals.info/languoid/lect/wals_code_yaz,31A,31,Sex-based,"Payne-1989b[429];Efimov-1975[44, 87-88]",
31A-nyh,http://wals.info/languoid/lect/wals_code_nyh,31A,31,Non-sex-based,Busse-1960[31-38],
31A-pil,http://wals.info/languoid/lect/wals_code_pil,31A,31,No gender,Naess-2000,
31A-pmc,http://wals.info/languoid/lect/wals_code_pmc,31A,31,No gender,Mithun-1990,
31A-agw,http://wals.info/languoid/lect/wals_code_agw,31A,31,Sex-based,Mous-nd,
31A-gdi,http://wals.info/languoid/lect/wals_code_gdi,31A,31,Non-sex-based,Marchese-1988,
31A-ren,http://wals.info/languoid/lect/wals_code_ren,31A,31,Sex-based,Oomen-1981;Pillinger-1989,
31A-tho,http://wals.info/languoid/lect/wals_code_tho,31A,31,No gender,Thompson-et-al-1996,
31A-smt,http://wals.info/languoid/lect/wals_code_smt,31A,31,No gender,Rigsby-and-Rude-1996,
31A-tsz,http://wals.info/languoid/lect/wals_code_tsz,31A,31,Sex-based,Comrie-and-Polinsky-1999,
31A-tap,http://wals.info/languoid/lect/wals_code_tap,31A,31,Sex-based,Kulick-and-Stroud-1992[206-207],
31A-abo,http://wals.info/languoid/lect/wals_code_abo,31A,31,Sex-based,"Hayward-1984[131-132, 159-184]",
31A-ngg,http://wals.info/languoid/lect/wals_code_ngg,31A,31,Sex-based,Reid-1997,
31A-khk,http://wals.info/languoid/lect/wals_code_khk,31A,31,No gender,Anderson-1998[5],
31A-ork,http://wals.info/languoid/lect/wals_code_ork,31A,31,No gender,Petrova-1967,
31A-saw,http://wals.info/languoid/lect/wals_code_saw,31A,31,No gender,Walker-1982,
31A-nym,http://wals.info/languoid/lect/wals_code_nym,31A,31,Non-sex-based,Maganga-and-Schadeberg-1992[57-73],
31A-ale,http://wals.info/languoid/lect/wals_code_ale,31A,31,No gender,Bergsland-1997,
31A-qaf,http://wals.info/languoid/lect/wals_code_qaf,31A,31,Sex-based,Corbett-1991[51-52];Parker-and-Hayward-1985[225],
31A-mny,http://wals.info/languoid/lect/wals_code_mny,31A,31,No gender,Breen-1981a,
31A-wat,http://wals.info/languoid/lect/wals_code_wat,31A,31,No gender,Douglas-1981,
31A-abn,http://wals.info/languoid/lect/wals_code_abn,31A,31,No gender,Hercus-1994,
31A-chi,http://wals.info/languoid/lect/wals_code_chi,31A,31,No gender,Dixon-1910,
31A-khl,http://wals.info/languoid/lect/wals_code_khl,31A,31,No gender,Doerfer-1988,
31A-cic,http://wals.info/languoid/lect/wals_code_cic,31A,31,Non-sex-based,Corbett-and-Mtenje-1987,
31A-don,http://wals.info/languoid/lect/wals_code_don,31A,31,No gender,Long-and-Zheng-1998[113],
31A-god,http://wals.info/languoid/lect/wals_code_god,31A,31,Sex-based,Kibrik-1996,
31A-tvl,http://wals.info/languoid/lect/wals_code_tvl,31A,31,No gender,Besnier-2000[367],
31A-tot,http://wals.info/languoid/lect/wals_code_tot,31A,31,No gender,MacKay-1991,
31A-lin,http://wals.info/languoid/lect/wals_code_lin,31A,31,Non-sex-based,Toporova-1973[23-36],
31A-djr,http://wals.info/languoid/lect/wals_code_djr,31A,31,No gender,Tsunoda-1981,
31A-hay,http://wals.info/languoid/lect/wals_code_hay,31A,31,No gender,Michailovsky-1988,
31A-asy,http://wals.info/languoid/lect/wals_code_asy,31A,31,Sex-based,Cowell-1964[372-376],
31A-kol,http://wals.info/languoid/lect/wals_code_kol,31A,31,Sex-based,"Emeneau-1955[55, 73]",
31A-mos,http://wals.info/languoid/lect/wals_code_mos,31A,31,Sex-based,Sakel-2002b,
31A-diz,http://wals.info/languoid/lect/wals_code_diz,31A,31,Sex-based,Allan-1976b,
31A-ppi,http://wals.info/languoid/lect/wals_code_ppi,31A,31,Sex-based,Blake-1979c[193-195],
31A-tol,http://wals.info/languoid/lect/wals_code_tol,31A,31,No gender,Holt-1999a,
31A-ccp,http://wals.info/languoid/lect/wals_code_ccp,31A,31,No gender,Crawford-1966[passim],
31A-kam,http://wals.info/languoid/lect/wals_code_kam,31A,31,No gender,Klamer-1998,
31A-shn,http://wals.info/languoid/lect/wals_code_shn,31A,31,Non-sex-based,Fortune-1955[50-105];Brauner-1995[20-30],
31A-kgz,http://wals.info/languoid/lect/wals_code_kgz,31A,31,No gender,Hebert-and-Poppe-1963[9],
31A-mlt,http://wals.info/languoid/lect/wals_code_mlt,31A,31,Sex-based,Borg-and-Azzopardi-Alexander-1997,
31A-err,http://wals.info/languoid/lect/wals_code_err,31A,31,No gender,Crowley-1998a,
31A-ukr,http://wals.info/languoid/lect/wals_code_ukr,31A,31,Sex-based,Shevelov-1993,
31A-bbw,http://wals.info/languoid/lect/wals_code_bbw,31A,31,Sex-based,Evans-et-al-2002;Evans-1997,
31A-tib,http://wals.info/languoid/lect/wals_code_tib,31A,31,No gender,Denwood-1999,
31A-zan,http://wals.info/languoid/lect/wals_code_zan,31A,31,Sex-based,Claudi-1985;Corbett-1991[14-15],
31A-yel,http://wals.info/languoid/lect/wals_code_yel,31A,31,No gender,Henderson-1995,
31A-oji,http://wals.info/languoid/lect/wals_code_oji,31A,31,Non-sex-based,Bloomfield-1957[31-32];Corbett-1991[20-22];Black-Rogers-1982,
31A-snc,http://wals.info/languoid/lect/wals_code_snc,31A,31,Sex-based,Chafe-1996[561-562],
31A-srn,http://wals.info/languoid/lect/wals_code_srn,31A,31,No gender,Firestone-1965,
31A-uhi,http://wals.info/languoid/lect/wals_code_uhi,31A,31,No gender,Crowley-1983,
31A-ite,http://wals.info/languoid/lect/wals_code_ite,31A,31,No gender,Georg-and-Volodin-1999,
31A-lel,http://wals.info/languoid/lect/wals_code_lel,31A,31,Sex-based,Frajzyngier-2001[55-56],
31A-gae,http://wals.info/languoid/lect/wals_code_gae,31A,31,Sex-based,MacAulay-1992b[208],
31A-guu,http://wals.info/languoid/lect/wals_code_guu,31A,31,No gender,Haviland-1979,
31A-bab,http://wals.info/languoid/lect/wals_code_bab,31A,31,Non-sex-based,Schaub-1985[171-192],
31A-nca,http://wals.info/languoid/lect/wals_code_nca,31A,31,Non-sex-based,"Braine-1970[103-108, 134-138]",
31A-tid,http://wals.info/languoid/lect/wals_code_tid,31A,31,Sex-based,van-Staden-2000[77-81],
31A-arg,http://wals.info/languoid/lect/wals_code_arg,31A,31,Sex-based,Holes-1990[155-157],
31A-mns,http://wals.info/languoid/lect/wals_code_mns,31A,31,No gender,Honti-1988,
31A-arc,http://wals.info/languoid/lect/wals_code_arc,31A,31,Sex-based,Kibrik-et-al-1977[55-66];Corbett-1991[27-29],
31A-miy,http://wals.info/languoid/lect/wals_code_miy,31A,31,Sex-based,Schuh-1998[190-198],
31A-uzb,http://wals.info/languoid/lect/wals_code_uzb,31A,31,No gender,Sjoberg-1963,
31A-ykt,http://wals.info/languoid/lect/wals_code_ykt,31A,31,No gender,Stachowski-and-Menz-1998,
31A-tgr,http://wals.info/languoid/lect/wals_code_tgr,31A,31,Sex-based,Raz-1997,
31A-hat,http://wals.info/languoid/lect/wals_code_hat,31A,31,No gender,Reesink-1999,
31A-mok,http://wals.info/languoid/lect/wals_code_mok,31A,31,No gender,Harrison-and-Albert-1976,
31A-ret,http://wals.info/languoid/lect/wals_code_ret,31A,31,Sex-based,"Strom-1992[10-11, 34-36, 45-47]",
31A-pal,http://wals.info/languoid/lect/wals_code_pal,31A,31,No gender,Josephs-1975,
