ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
29A-hmi,http://wals.info/languoid/lect/wals_code_hmi,29A,29,Not syncretic,Minor-et-al-1982,
29A-ccp,http://wals.info/languoid/lect/wals_code_ccp,29A,29,Not syncretic,Crawford-1966[64-76],
29A-qaw,http://wals.info/languoid/lect/wals_code_qaw,29A,29,No subject person/number marking,Clairis-1985,
29A-sel,http://wals.info/languoid/lect/wals_code_sel,29A,29,No subject person/number marking,Najlis-1973,
29A-bri,http://wals.info/languoid/lect/wals_code_bri,29A,29,No subject person/number marking,Pittier-de-Fabrega-1898,
29A-kon,http://wals.info/languoid/lect/wals_code_kon,29A,29,Syncretic,Carter-and-Makoondekwa-1987,
29A-lak,http://wals.info/languoid/lect/wals_code_lak,29A,29,Syncretic,Zhirkov-1955;Xajdakov-2001,
29A-eka,http://wals.info/languoid/lect/wals_code_eka,29A,29,Syncretic,Drabbe-1952,
29A-ham,http://wals.info/languoid/lect/wals_code_ham,29A,29,Syncretic,Oates-and-Oates-1968,
29A-mrd,http://wals.info/languoid/lect/wals_code_mrd,29A,29,Syncretic,Drabbe-1955,
29A-abi,http://wals.info/languoid/lect/wals_code_abi,29A,29,Syncretic,Najlis-1966,
29A-mab,http://wals.info/languoid/lect/wals_code_mab,29A,29,Not syncretic,Tucker-and-Bryan-1966,
29A-una,http://wals.info/languoid/lect/wals_code_una,29A,29,Not syncretic,Louwerse-1988,
29A-yuc,http://wals.info/languoid/lect/wals_code_yuc,29A,29,Not syncretic,Wagner-1933-1938,
29A-pso,http://wals.info/languoid/lect/wals_code_pso,29A,29,No subject person/number marking,Moshinsky-1974,
29A-snt,http://wals.info/languoid/lect/wals_code_snt,29A,29,Syncretic,Cowan-1965,
29A-krb,http://wals.info/languoid/lect/wals_code_krb,29A,29,No subject person/number marking,Groves-et-al-1985,
29A-ypk,http://wals.info/languoid/lect/wals_code_ypk,29A,29,Not syncretic,Jacobson-1995,
29A-fur,http://wals.info/languoid/lect/wals_code_fur,29A,29,Not syncretic,Jakobi-1990,
29A-ker,http://wals.info/languoid/lect/wals_code_ker,29A,29,No subject person/number marking,Ebert-1979,
29A-lad,http://wals.info/languoid/lect/wals_code_lad,29A,29,No subject person/number marking,Koshal-1979,
29A-lep,http://wals.info/languoid/lect/wals_code_lep,29A,29,No subject person/number marking,Mainwaring-1876,
29A-tli,http://wals.info/languoid/lect/wals_code_tli,29A,29,Not syncretic,Swanton-1911a,
29A-wam,http://wals.info/languoid/lect/wals_code_wam,29A,29,Not syncretic,Nordlinger-1998,
29A-bam,http://wals.info/languoid/lect/wals_code_bam,29A,29,No subject person/number marking,Kastenholz-1998,
