ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
58A-kln,http://wals.info/languoid/lect/wals_code_kln,58A,58,Absent,,
58A-knu,http://wals.info/languoid/lect/wals_code_knu,58A,58,Absent,Muller-1954,
58A-tht,http://wals.info/languoid/lect/wals_code_tht,58A,58,Absent,Flassy-and-Stockhof-1979,
58A-knp,http://wals.info/languoid/lect/wals_code_knp,58A,58,Absent,,
58A-kiu,http://wals.info/languoid/lect/wals_code_kiu,58A,58,Exists,,
58A-tgp,http://wals.info/languoid/lect/wals_code_tgp,58A,58,Exists,,
58A-yli,http://wals.info/languoid/lect/wals_code_yli,58A,58,Absent,Fahner-1979,
58A-brk,http://wals.info/languoid/lect/wals_code_brk,58A,58,Absent,Thimbwat-et-al-1979,
58A-nkk,http://wals.info/languoid/lect/wals_code_nkk,58A,58,Absent,Eather-1990,
58A-cjo,http://wals.info/languoid/lect/wals_code_cjo,58A,58,Exists,Lastra-de-Suarez-1984,
58A-mto,http://wals.info/languoid/lect/wals_code_mto,58A,58,Absent,Steever-1998c;Das-1973,
58A-boa,http://wals.info/languoid/lect/wals_code_boa,58A,58,Absent,Drabbe-1954,
58A-cho,http://wals.info/languoid/lect/wals_code_cho,58A,58,Exists,Turner-and-Turner-1971,
58A-cin,http://wals.info/languoid/lect/wals_code_cin,58A,58,Exists,Applegate-1972,
58A-mdk,http://wals.info/languoid/lect/wals_code_mdk,58A,58,Absent,Creissels-1983,
58A-chy,http://wals.info/languoid/lect/wals_code_chy,58A,58,Absent,Hart-1988,
58A-nah,http://wals.info/languoid/lect/wals_code_nah,58A,58,Absent,Kuiper-1962,
58A-nyn,http://wals.info/languoid/lect/wals_code_nyn,58A,58,Absent,Stokes-1982,
58A-wrs,http://wals.info/languoid/lect/wals_code_wrs,58A,58,Absent,Brown-1988b,
58A-kat,http://wals.info/languoid/lect/wals_code_kat,58A,58,Absent,Schneuker-1962;Pilhofer-1933,
58A-mrh,http://wals.info/languoid/lect/wals_code_mrh,58A,58,Absent,Green-1989;Green-1981,
58A-ori,http://wals.info/languoid/lect/wals_code_ori,58A,58,Absent,Schadeberg-and-Elias-1979,
58A-pnr,http://wals.info/languoid/lect/wals_code_pnr,58A,58,Absent,"Aikhenvald-2000[128, citing Carlson and Payne 1989:19]",
58A-bzi,http://wals.info/languoid/lect/wals_code_bzi,58A,58,Absent,Kuleti-1980,
58A-iau,http://wals.info/languoid/lect/wals_code_iau,58A,58,Absent,Bateman-1986,
58A-nim,http://wals.info/languoid/lect/wals_code_nim,58A,58,Absent,Anceaux-1965,
58A-pwn,http://wals.info/languoid/lect/wals_code_pwn,58A,58,Exists,Parks-1976,
58A-buu,http://wals.info/languoid/lect/wals_code_buu,58A,58,Absent,Grimes-1991,
58A-kim,http://wals.info/languoid/lect/wals_code_kim,58A,58,Absent,,
58A-mot,http://wals.info/languoid/lect/wals_code_mot,58A,58,Absent,Onishi-1994,
58A-wrn,http://wals.info/languoid/lect/wals_code_wrn,58A,58,Absent,Heath-1980b,
58A-tlf,http://wals.info/languoid/lect/wals_code_tlf,58A,58,Absent,Healey-1964;Healey-1965a;Healey-1965c;Healey-1965b,
58A-nai,http://wals.info/languoid/lect/wals_code_nai,58A,58,Absent,Sem-1975;Avrorin-1959,
58A-ane,http://wals.info/languoid/lect/wals_code_ane,58A,58,Absent,Thurston-1982,
58A-gmz,http://wals.info/languoid/lect/wals_code_gmz,58A,58,Absent,Bender-1979,
58A-kri,http://wals.info/languoid/lect/wals_code_kri,58A,58,Absent,Larsen-1984,
58A-chi,http://wals.info/languoid/lect/wals_code_chi,58A,58,Absent,Dixon-1910,
58A-fua,http://wals.info/languoid/lect/wals_code_fua,58A,58,Absent,Arnott-1970,
58A-koi,http://wals.info/languoid/lect/wals_code_koi,58A,58,Exists,Dutton-1996,
58A-dig,http://wals.info/languoid/lect/wals_code_dig,58A,58,Absent,Sastry-1984,
58A-wry,http://wals.info/languoid/lect/wals_code_wry,58A,58,Absent,Harvey-1986,
58A-tot,http://wals.info/languoid/lect/wals_code_tot,58A,58,Exists,MacKay-1999,
58A-wem,http://wals.info/languoid/lect/wals_code_wem,58A,58,Absent,Hercus-1986b,
58A-yes,http://wals.info/languoid/lect/wals_code_yes,58A,58,Absent,Foreman-1974,
58A-baa,http://wals.info/languoid/lect/wals_code_baa,58A,58,Absent,Olson-1979,
58A-lda,http://wals.info/languoid/lect/wals_code_lda,58A,58,Absent,Ashton-et-al-1954,
58A-sul,http://wals.info/languoid/lect/wals_code_sul,58A,58,Absent,Muller-1916;Schneider-1962,
58A-bel,http://wals.info/languoid/lect/wals_code_bel,58A,58,Exists,,
58A-ctm,http://wals.info/languoid/lect/wals_code_ctm,58A,58,Exists,Swadesh-1946b,
58A-diz,http://wals.info/languoid/lect/wals_code_diz,58A,58,Absent,Allan-1976b,
58A-kzy,http://wals.info/languoid/lect/wals_code_kzy,58A,58,Absent,Zhilina-and-Baraksanov-1971;Lytkin-1966b,
58A-syu,http://wals.info/languoid/lect/wals_code_syu,58A,58,Absent,Irwin-1974,
58A-wrl,http://wals.info/languoid/lect/wals_code_wrl,58A,58,Absent,Simpson-1991,
58A-sal,http://wals.info/languoid/lect/wals_code_sal,58A,58,Exists,Turner-1987,
58A-taw,http://wals.info/languoid/lect/wals_code_taw,58A,58,Absent,Ezard-1997,
58A-hua,http://wals.info/languoid/lect/wals_code_hua,58A,58,Absent,Haiman-1980,
58A-mpa,http://wals.info/languoid/lect/wals_code_mpa,58A,58,Absent,Street-1987;Walsh-1976,
58A-was,http://wals.info/languoid/lect/wals_code_was,58A,58,Absent,Jacobsen-1964,
58A-sah,http://wals.info/languoid/lect/wals_code_sah,58A,58,Absent,Visser-and-Voorhoeve-1987,
58A-wsk,http://wals.info/languoid/lect/wals_code_wsk,58A,58,Absent,Ross-and-Paol-1978,
58A-alw,http://wals.info/languoid/lect/wals_code_alw,58A,58,Absent,Sharpe-1972,
58A-grr,http://wals.info/languoid/lect/wals_code_grr,58A,58,Absent,Furby-1972;Furby-and-Furby-1977,
58A-nar,http://wals.info/languoid/lect/wals_code_nar,58A,58,Absent,Thompson-1976a,
58A-tib,http://wals.info/languoid/lect/wals_code_tib,58A,58,Absent,Denwood-1999,
58A-dum,http://wals.info/languoid/lect/wals_code_dum,58A,58,Absent,Ross-1980,
58A-oss,http://wals.info/languoid/lect/wals_code_oss,58A,58,Exists,Abaev-1964,
58A-res,http://wals.info/languoid/lect/wals_code_res,58A,58,Exists,Allin-1976,
58A-tkl,http://wals.info/languoid/lect/wals_code_tkl,58A,58,Absent,Sapir-1922b,
58A-uhi,http://wals.info/languoid/lect/wals_code_uhi,58A,58,Absent,Crowley-1983,
58A-knk,http://wals.info/languoid/lect/wals_code_knk,58A,58,Absent,Newman-1974,
58A-siu,http://wals.info/languoid/lect/wals_code_siu,58A,58,Absent,Frachtenberg-1922b,
