ID,Language_ID,Parameter_ID,Contribution_ID,Value,Source,Comment
12A-ach,http://wals.info/languoid/lect/wals_code_ach,12A,12,Simple,Susnik-1974,
12A-aiz,http://wals.info/languoid/lect/wals_code_aiz,12A,12,Complex,Herault-1971,
12A-sab,http://wals.info/languoid/lect/wals_code_sab,12A,12,Complex,Clayre-1973,
12A-ald,http://wals.info/languoid/lect/wals_code_ald,12A,12,Moderately complex,Dumestre-and-Duponchel-1971;Duponchel-1971,
12A-bki,http://wals.info/languoid/lect/wals_code_bki,12A,12,Simple,Wheatley-1969;Wheatley-1973,
12A-brd,http://wals.info/languoid/lect/wals_code_brd,12A,12,Complex,Metcalfe-1971,
12A-bee,http://wals.info/languoid/lect/wals_code_bee,12A,12,Moderately complex,Jacquot-1962;Jacquot-1981,
12A-bbf,http://wals.info/languoid/lect/wals_code_bbf,12A,12,Simple,Bris-and-Prost-1981;Morse-1976,
12A-brw,http://wals.info/languoid/lect/wals_code_brw,12A,12,Complex,Thongkum-1979,
12A-cad,http://wals.info/languoid/lect/wals_code_cad,12A,12,Moderately complex,Chafe-1976;Chafe-1979,
12A-dad,http://wals.info/languoid/lect/wals_code_dad,12A,12,Moderately complex,MacDonald-1973,
12A-ddf,http://wals.info/languoid/lect/wals_code_ddf,12A,12,Moderately complex,Thelwall-1981;Tucker-and-Bryan-1966,
12A-dnw,http://wals.info/languoid/lect/wals_code_dnw,12A,12,Moderately complex,Fedry-1977,
12A-dar,http://wals.info/languoid/lect/wals_code_dar,12A,12,Moderately complex,Kotapish-and-Kotapish-1973;Kotapish-and-Kotapish-1975,
12A-det,http://wals.info/languoid/lect/wals_code_det,12A,12,Moderately complex,Vossen-1997,
12A-dts,http://wals.info/languoid/lect/wals_code_dts,12A,12,Simple,Bendor-Samuel-et-al-1989;Plungian-1995,
12A-fuz,http://wals.info/languoid/lect/wals_code_fuz,12A,12,Moderately complex,Chan-1985;Chen-and-Norman-1965;Hanyu-1960;Norman-1988,
12A-gla,http://wals.info/languoid/lect/wals_code_gla,12A,12,Moderately complex,He-1981;He-1983,
12A-had,http://wals.info/languoid/lect/wals_code_had,12A,12,Simple,Sands-et-al-1996;Tucker-et-al-1977,
12A-hba,http://wals.info/languoid/lect/wals_code_hba,12A,12,Complex,Bolozky-1978;Bolozky-1997,
12A-ird,http://wals.info/languoid/lect/wals_code_ird,12A,12,Complex,Ni-Chasaide-1999;O-Dochartaigh-1992,
12A-iso,http://wals.info/languoid/lect/wals_code_iso,12A,12,Moderately complex,Donwa-1982,
12A-ivs,http://wals.info/languoid/lect/wals_code_ivs,12A,12,Moderately complex,Cottle-and-Cottle-1958;Heye-and-Hidalgo-1967;Hidalgo-and-Hidalgo-1971,
12A-jpr,http://wals.info/languoid/lect/wals_code_jpr,12A,12,Moderately complex,Durbin-and-Seijas-1972,
12A-jom,http://wals.info/languoid/lect/wals_code_jom,12A,12,Moderately complex,Schadeberg-1981a,
12A-kzh,http://wals.info/languoid/lect/wals_code_kzh,12A,12,Moderately complex,Zheng-and-Quan-1988,
